CYACTIVE,1,,,,,,,,
,,,,,,,,,
Row Labels,Count of Location,,,,,,,,
Far West AK CA HI NV OR WA,996,,,Row Labels,Count of Location,,,Row Labels,Count of Location
Great Lakes IL IN MI OH WI,994,,,Associate's degree,1352,,,#N/A,551
Mid East DE DC MD NJ NY PA,1109,,,Bachelor's degree,948,,,City: Midsize,844
New England CT ME MA NH RI VT,389,,,Doctor's degree,1239,,,City: Small,907
Outlying areas AS FM GU MH MP PR PW VI,155,,,Master's degree,807,,,Town: Distant,452
Plains IA KS MN MO NE ND SD,571,,,Postbaccalaureate certificate,24,,,Town: Fringe,133
Rocky Mountains CO ID MT UT WY,268,,,Post-master's certificate,169,,,Suburb: Large,1859
Southeast AL AR FL GA KY LA MS NC SC TN VA WV,1681,,,Postsecondary - 1 Year,191,,,Town: Remote,342
Southwest AZ NM OK TX,740,,,Postsecondary - 2+ Years,685,,,City: Large,1717
US Service schools,7,,,Postsecondary -2 Years,1705,,,Suburb: Small,141
Grand Total,6910,,,#N/A,33,,,Suburb: Midsize,207
,,,,Grand Total,7153,,,Grand Total,7153
,,,,,,,,,
,,,,,,,,,
CYACTIVE,1,,,,,,,,
,,,,,,,,,
Row Labels,Count of Location,,,Medical Degree offered,,,,Row Labels,Count of Location
AK,10,,,Row Labels,Count of Location,,,Private for-profit institution,3093
AL,91,,,Medical Degree offering,196,,,Private not-for-profit institution,1959
AR,84,,,Non Medical School,6957,,,Public institution,2069
AS,1,,,Grand Total,7153,,,#N/A,32
AZ,127,,,,,,,Grand Total,7153
CA,714,,,,,,,,
CO,116,,,,,,,,
CT,87,,,,,,,,
DC,22,,,,,,,,
DE,18,,,,,,,,
FL,368,,,,,,,,
FM,1,,,,,,,,
GA,164,,,,,,,,
GU,3,,,,,,,,
HI,26,,,,,,,,
IA,88,,,,,,,,
ID,38,,,,,,,,
IL,275,,,,,,,,
IN,119,,,,,,,,
KS,84,,,,,,,,
KY,98,,,,,,,,
LA,129,,,,,,,,
MA,175,,,,,,,,
MD,90,,,,,,,,
ME,38,,,,,,,,
MH,1,,,,,,,,
MI,173,,,,,,,,
MN,115,,,,,,,,
MO,176,,,,,,,,
MP,1,,,,,,,,
MS,59,,,,,,,,
MT,31,,,,,,,,
NC,178,,,,,,,,
ND,29,,,,,,,,
NE,50,,,,,,,,
NH,41,,,,,,,,
NJ,158,,,,,,,,
NM,50,,,,,,,,
NV,44,,,,,,,,
NY,458,,,,,,,,
OH,318,,,,,,,,
OK,132,,,,,,,,
OR,90,,,,,,,,
PA,366,,,,,,,,
PR,146,,,,,,,,
PW,1,,,,,,,,
RI,23,,,,,,,,
SC,105,,,,,,,,
SD,29,,,,,,,,
TN,171,,,,,,,,
TX,431,,,,,,,,
UT,73,,,,,,,,
VA,160,,,,,,,,
VI,1,,,,,,,,
VT,26,,,,,,,,
WA,113,,,,,,,,
WI,110,,,,,,,,
WV,74,,,,,,,,
WY,11,,,,,,,,
Grand Total,6910,,,,,,,,
